AccuWeather
February 2021
Austin, TX
Daily Temperature History

Day   High   Low
---   ----   ---
1     67°    41°
2     69°    40°
3     77°    45°
4     85°    55°
5     61°    44°
6     75°    48°
7     70°    40°
8     76°    51°
9     64°    46°
10    46°    37°
11    37°    31°
12    33°    29°
13    31°    26°
14    30°    13°
15    25°     8°
16    26°     7°
17    32°    24°
18    33°    24°
19    43°    21°
20    62°    26°
21    76°    44°
22    76°    42°
23    79°    47°
24    86°    64°
25    66°    51°
26    60°    47°
27    79°    58°
28    74°    58°
